Age,Income,Education_Years,Experience_Years,Spending_Score,Savings,Credit_Score,Debt,Hours_Online,Purchases_Month,Website_Visits,Time_On_App,Social_Media_Usage,Product_Returns,Customer_Tenure,Satisfaction_Score,Complaints,Support_Call_Count,Ad_Clicks,Email_Open_Rate,Discount_Usage,Mobile_App_Usage,Transactions_Value,Fraud_Risk_Score,Loyalty_Points,Dropout_Probability,Market_Segment,Region_Code,Channel _ Preference,Risk_Class
56,25903.3052,12,13,63,19560.15085,684,15031.51868,10,5,12,219.79,0.77,1,51,1,1,2,11,0.442,0.4117,3,2960,0.3414,691,0.4234,5,1,2,1
69,53051.95454,17,26,22,16273.42337,732,21472.02455,3,6,15,74.58,0.29,0,37,8,1,2,10,0.9501,0.9118,2,3578,0.1626,6066,0.6871,1,3,1,1
46,38654.73882,11,28,70,11729.48424,630,3447.25069,10,4,21,110.62,2.89,0,14,9,2,2,10,0.552,0.1642,4,3585,0.4752,8448,0.6225,1,5,3,1
32,28666.19436,11,38,21,20099.81639,709,10506.40384,0,9,21,246.81,3.18,1,103,3,0,2,13,0.3269,0.2485,9,2232,0.2598,3432,0.4457,2,6,2,0
60,40301.40674,11,38,96,16293.42108,735,9128.023,11,4,29,34.4,0.68,1,68,7,0,3,10,0.086,0.6062,5,3087,0.0522,833,0.3019,5,3,3,0
25,33776.77995,17,0,35,11722.73904,631,21037.54664,1,8,28,250.68,2.37,0,30,5,1,1,4,0.3757,0.1163,3,4201,0.2795,5794,0.4744,5,3,1,0
38,75307.12453,15,16,79,20348.23849,622,10565.44431,8,3,24,191.86,1.53,1,60,3,0,2,6,0.5686,0.8919,4,2909,0.4691,9353,0.0151,4,6,1,1
56,63224.59635,13,29,5,32866.44378,641,7284.267646,3,5,22,102.61,4.66,3,53,5,0,9,10,0.7032,0.0472,6,2681,0.1127,3522,0.0739,2,4,1,0
36,49880.41038,10,12,60,17065.37867,646,18295.96528,10,4,20,35.34,1.1,1,97,10,0,1,10,0.8751,0.7553,4,3828,0.9443,8664,0.1627,5,2,1,1
40,72199.16208,17,20,46,31982.21233,705,9547.514515,6,2,21,27.45,3.67,2,36,7,0,1,8,0.944,0.3737,5,1440,0.6561,5860,0.6254,5,1,1,1
28,51160.52461,12,18,50,36914.65372,611,12895.6411,2,4,11,100.65,2.59,0,30,7,1,1,10,0.1025,0.0512,3,356,0.1363,2026,0.2188,5,1,1,1
28,37080.73698,13,18,48,12372.64878,727,29286.86341,7,2,21,42.1,0.06,5,64,9,0,2,9,0.6009,0.8429,3,3346,0.8121,9829,0.4234,3,6,1,1
41,72846.86116,12,24,6,20072.35367,610,19722.83132,5,3,16,80.31,2.58,0,14,8,0,1,11,0.6666,0.6405,7,4229,0.9281,3548,0.6214,5,6,1,1
53,58083.65066,13,21,89,36829.85534,587,13733.75636,8,9,16,15.89,0.5,0,23,4,0,2,10,0.1721,0.0089,6,5162,0.2628,905,0.8306,3,2,3,0
